20, 30, 45, 60, 75, 90, -1
0.1, 0.15, 0.2, 0.22, 0.27, 0.30, -1
0.10; 1.00, 1.05, 1.10, 1.16, 1.22, 1.28
0.25; 1.49, 1.57, 1.64, 1.73, 1.81, 1.90
0.50; 4.93, 5.17, 5.43, 5.70, 5.99, 7.00
0.75; 14.0, 15.0, 16.0, 16.0, 17.0, 18.0
1.00; 32.0, 34.0, 36.0, 38.0, 39.0, 41.0
1.25; 62.0, 65.0, 69.0, 72.0, 76.0, 80.0
1.50; 107, 112, 118, 124, 130, 137
1.75; 169, 178, 187, 196, 206, 216
2.00; 252, 265, 278, 292, 307, 322
2.25; 359, 377, 396, 415, 436, 458
2.50; 492, 516, 542, 569, 598, 628
2.75; 654, 687, 721, 757, 795, 835
3.00; 849, 892, 936, 983, 1032, 1084
