0.05, 0.03, 0.02, 0.01, 0.005, 0.002; -1
0.10; 1.00, 1.20, 1.44, 2.16, 2.70, 2.97
0.25; 1.20, 1.44, 1.72, 2.58, 3.23, 3.55
0.50; 2.57, 3.08, 3.70, 5.55, 6.94, 7.64
0.75; 6.30, 7.56, 9.07, 14.0, 17.0, 19.0
1.00; 14.0, 16.0, 20.0, 29.0, 37.0, 40.0
1.25; 26.0, 31.0, 37.0, 55.0, 69.0, 76.0
1.50; 43.0, 52.0, 63.0, 94.0, 117.0, 129.0
1.75; 68.0, 82.0, 98.0, 148.0, 185.0, 203.0
2.00; 102.0, 122.0, 146.0, 219.0, 274.0, 302.0
2.25; 144.0, 173.0, 208.0, 311.0, 389.0, 428.0
2.50; 197.0, 237.0, 284.0, 426.0, 533.0, 586.0
2.75; 262.0, 315.0, 378.0, 567.0, 708.0, 779.0
3.00; 340.0, 408.0, 490.0, 735.0, 919.0, 1011.0
